#OTU ID,W12t1b,W12t1c,W12t1l,W12t2b,W12t2c,W12t2l,W12t3b,W12t3c,W12t3l,W12t4b,W12t4c,W12t4l,W12t5b,W12t5c,W12t5l,W12t6b,W12t6c,W12t6l,W48t21b,W48t21c,W48t21l,W48t22b,W48t22c,W48t22l,W48t23b,W48t23c,W48t23l,W48t24b,W48t24c,W48t24l,W48t25b,W48t25c,W48t25l,W48t26b,W48t26c,W48t26l,WC10Mb,WC10Mc,WC10Ml,WC31Hb,WC31Hc,WC31Hl,WC32Hb,WC32Hc,WC32Hl,WC33Hb,WC33Hc,WC33Hl,WC8Mb,WC8Mc,WC8Ml,WC9Mb,WC9Mc,WC9Ml
Zotu1580,5,1,1,1,0,0,8,0,0,13,2,0,28,25,1,0,0,0,4,0,0,1,0,0,9,2,0,0,0,0,2,0,0,22,0,0,13,0,0,7,0,0,1,0,0,6,1,0,0,0,0,0,1,0
Zotu15800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,15,0,0,24,0,1,0,0,0,0,0,0,1,0,0,13,0,0,0,0,1,0,0,0,0,0,3,0,0,0,14
Zotu15801,0,0,3,0,0,1,0,2,0,0,2,0,0,0,0,0,2,0,0,9,0,0,4,8,0,0,0,0,5,3,0,1,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
Zotu15802,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,1,2,0,0,0,0,0,0,0,0
Zotu15803,1,1,43,0,0,1,1,15,0,0,9,3,0,3,0,0,7,0,0,9,0,1,12,0,0,9,0,0,5,0,1,10,1,0,15,0,0,6,1,0,6,1,1,9,0,0,6,0,0,11,0,0,2,0
Zotu15804,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0,0,0,6,11,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
Zotu15805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu15806,0,0,0,0,3,0,0,0,17,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Zotu15807,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,6,0,0,0,0,3,0,0,1,0,0,2,0,0,4,0
Zotu15808,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
