	W12t1c	W12t2c	W12t3c	W12t4c	W12t5c	W12t6c	W48t21c	W48t22c	W48t23c	W48t24c	W48t25c	W48t26c	WC10Mb	WC10Mc	WC10Ml	WC31Hb	WC31Hc	WC31Hl	WC32Hb	WC32Hc	WC32Hl	WC33Hb	WC33Hc	WC33Hl	WC8Mb	WC8Mc	WC8Ml	WC9Mb	WC9Mc	WC9Ml
Zotu5593	0	0	42	0	0	3	0	13	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	10
Zotu5594	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0
Zotu5595	1	1	2	3	4	1	1	5	1	2	3	4	0	10	7	0	8	0	0	4	6	0	2	4	0	10	5	0	6	1
Zotu5596	2	2	3	0	3	4	3	7	4	6	1	14	0	4	0	1	11	0	0	1	4	0	9	0	0	5	0	0	7	0
Zotu5597	6	0	9	0	0	2	16	5	4	2	14	3	0	6	0	0	6	0	0	1	1	0	1	0	1	4	0	0	16	8
Zotu5598	0	3	0	0	0	0	1	0	0	2	0	0	0	0	6	0	0	1	0	0	0	0	1	4	0	1	3	0	0	2
Zotu5599	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu56	2	2	5	40	36	5	0	1	1	0	5	0	87	2	0	0	1	0	1	0	2	5	1	0	32	4	2	27	0	0
Zotu560	0	0	0	30	112	1	0	0	0	1	3	2	99	11	2	3	1	0	2	0	2	1	0	3	44	1	0	2	0	2
Zotu5600	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0
Zotu5601	0	0	0	3	6	0	0	0	0	0	1	0	1	0	0	2	0	0	2	2	0	1	1	0	0	0	0	1	0	0
Zotu5602	0	0	3	1	1	2	1	0	1	2	3	3	2	3	0	3	0	0	3	2	0	11	1	0	1	2	6	13	0	5
Zotu5603	8	8	0	2	5	1	1	0	0	3	0	5	0	6	1	0	1	0	1	2	5	0	1	0	0	2	5	0	7	2
Zotu5604	1	2	15	0	0	2	0	5	1	10	0	0	0	0	8	0	2	0	0	1	0	0	0	0	0	2	0	0	2	0
Zotu5605	4	0	1	0	1	1	8	2	6	5	7	1	0	3	0	0	1	0	0	3	0	0	7	0	0	0	0	0	8	6
Zotu5606	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	3	0	0	5	0	0	0	0	0
Zotu5607	0	1	8	6	1	1	0	1	1	1	1	1	0	2	0	1	0	0	0	6	0	6	1	0	0	1	0	0	0	4
Zotu5608	1	1	1	9	0	2	0	0	0	0	1	1	0	1	0	0	1	5	0	0	3	0	1	0	0	4	0	0	0	1
Zotu5609	3	3	1	6	0	4	4	3	4	3	0	4	4	6	7	1	3	0	0	2	1	3	4	5	0	4	2	3	6	0
Zotu561	2	0	0	11	10	2	0	1	1	0	0	0	11	0	0	82	1	0	21	0	0	14	1	0	22	0	0	31	0	0
